Sat Dec  8 10:44:46 2012    dbscan-9375.profile

         3325826313 function calls (3146135898 primitive calls) in 14862.432 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:458(ndenumerate)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:505(ndindex)
        1    0.001    0.001    0.004    0.004 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:431(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:82(nd_grid)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:210(AxisConcatenator)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:643(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:436(CClass)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:142(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:228(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:337(RClass)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/index_tricks.py:600(IndexExpression)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/info.py:147(<module>)
        1    0.122    0.122    0.416    0.416 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:585(loadtxt)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:123(NpzFile)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:1(<module>)
     9376    0.055    0.000    0.090    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:737(split_line)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:697(flatten_dtype)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:80(BagObj)
18750/9375    0.073    0.000    0.082    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:723(pack_items)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/npyio.py:564(_getconv)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/lib/polynomial.py:19(RankWarning)
